;features;attribute_group;attribute;globus_attr_group_to_use;attribute_group_eng;attribute_eng;show
63;hosenlange-78lange;hosenlange;78lange;['globus:pim.damenfashion.hosenlange'];length of trousers;7/8 length;Y
64;hosenlange-normalelange;hosenlange;normalelange;['globus:pim.damenfashion.hosenlange'];length of trousers;normal;Y
65;innenausstattung-facher;innenausstattung;facher;['globus:pim.damenfashion.innenausstattung'];;inside:bag pockets;N
66;innenausstattung-fachmitreissverschluss;innenausstattung;fachmitreissverschluss;['globus:pim.damenfashion.innenausstattung'];;;N
67;innenausstattung-handyfach;innenausstattung;handyfach;['globus:pim.damenfashion.innenausstattung'];;inside:cell phone holder;N
68;innenausstattung-innentasche;innenausstattung;innentasche;['globus:pim.damenfashion.innenausstattung'];;inside bag;N
69;innenausstattung-schluesselanhaenger;innenausstattung;schluesselanhaenger;['globus:pim.damenfashion.innenausstattung'];;key-holder;N
70;innenausstattung-steckfacher;innenausstattung;steckfacher;['globus:pim.damenfashion.innenausstattung'];;;N
71;innenausstattung-vollfutter;innenausstattung;vollfutter;['globus:pim.damenfashion.innenausstattung'];;;N
72;klein gemustert;attribute not known;klein gemustert;;;small patterns;N
73;knopfleiste-mitaufgesetzterknopfleiste;knopfleiste;mitaufgesetzterknopfleiste;['globus:pim.herrenfashion.knopfleiste'];;;N
74;knopfleiste-mitglatterknopfleiste;knopfleiste;mitglatterknopfleiste;['globus:pim.herrenfashion.knopfleiste'];;;N
75;kragenstabchen-herausnehmbarekragenstabchen;kragenstabchen;herausnehmbarekragenstabchen;['globus:pim.herrenfashion.kragenstabchen'];;;N
76;kragenstabchen-ohnekragenstabchen;kragenstabchen;ohnekragenstabchen;['globus:pim.herrenfashion.kragenstabchen'];;;N
77;laufsohle-gummi;laufsohle;gummi;['globus:pim.accessoires.laufsohle'];outsole;rubber ;Y
78;laufsohle-leder;laufsohle;leder;['globus:pim.accessoires.laufsohle'];outsole;leather;Y
79;material-CAC;material;CAC;;;;N
